metro_geocode,metro_geoname,metro_lon,metro_lat,metro_code,metro_total,metro_white,metro_hispanic,metro_black,metro_asian,metro_amind,metro_twoplus,City,State,County,Zip,Country,Source
35300,"New Haven-Milford, CT",-72.93139,41.41054,6,100,62.33915,18.63343,12.82783,4.23649,0.17887,1.78424,New Haven,CT,New Haven County,6501,US,TIGER/Lineå¨ dataset from the US Census Bureau
37100,"Oxnard-Thousand Oaks-Ventura, CA",-119.08493,34.45473,6,100,44.9632,43.02141,1.76634,7.57327,0.29202,2.38376,Oxnard,CA,Ventura County,93030,US,TIGER/Lineå¨ dataset from the US Census Bureau
21340,"El Paso, TX",-105.54166,31.51334,1,100,11.67059,82.92195,3.04948,1.26509,0.28064,0.81225,El Paso,TX,El Paso County,79901,US,TIGER/Lineå¨ dataset from the US Census Bureau
10900,"Allentown-Bethlehem-Easton, PA-NJ",-75.40372,40.78934,7,100,72.2918,17.70776,5.24835,3.07173,0.12955,1.55081,Allentown,PA,Lehigh County,18101,US,TIGER/Lineå¨ dataset from the US Census Bureau
17900,"Columbia, SC",-81.04303,34.09188,2,100,56.19012,5.67707,33.58069,2.37754,0.30216,1.87242,Columbia,MD,Howard County,21044,US,TIGER/Lineå¨ dataset from the US Census Bureau
12940,"Baton Rouge, LA",-91.13268,30.57116,2,100,56.44477,4.1123,35.80084,2.15082,0.25899,1.23227,Baton Rouge,LA,East Baton Rouge Parish,70801,US,TIGER/Lineå¨ dataset from the US Census Bureau
35840,"North Port-Sarasota-Bradenton, FL",-82.32249,27.34777,7,100,77.1985,12.89283,6.34052,1.97426,0.19049,1.40341,Northport,AL,Tuscaloosa County,35473,US,TIGER/Lineå¨ dataset from the US Census Bureau
19380,"Dayton, OH",-84.14203,39.8295,2,100,76.15405,2.88018,15.70595,2.46247,0.22764,2.56972,Dayton,OH,Montgomery County,45401,US,TIGER/Lineå¨ dataset from the US Census Bureau
16700,"Charleston-North Charleston, SC",-80.04338,33.0421,2,100,64.36876,5.69471,25.45138,2.09575,0.37746,2.01195,Charleston,SC,Charleston County,29401,US,TIGER/Lineå¨ dataset from the US Census Bureau
24660,"Greensboro-High Point, NC",-79.79155,36.02574,2,100,57.90356,8.588,27.09952,4.04671,0.43545,1.92677,Greensboro,NC,Guilford County,27401,US,TIGER/Lineå¨ dataset from the US Census Bureau
15980,"Cape Coral-Fort Myers, FL",-81.84071,26.57793,1,100,66.81849,21.89648,8.08365,1.71241,0.21495,1.27404,Cape Coral,FL,Lee County,33904,US,TIGER/Lineå¨ dataset from the US Census Bureau
44700,"Stockton-Lodi, CA",-121.27113,37.93459,6,100,31.04177,41.92743,7.10653,16.09,0.43791,3.39635,Stockton,CA,San Joaquin County,95201,US,TIGER/Lineå¨ dataset from the US Census Bureau
30780,"Little Rock-North Little Rock-Conway, AR",-92.39722,34.75725,2,100,66.79548,5.40788,23.74093,1.77816,0.40413,1.87342,Little Rock,AR,Pulaski County,72201,US,TIGER/Lineå¨ dataset from the US Census Bureau
17820,"Colorado Springs, CO",-104.65833,38.84265,7,100,69.51697,17.09437,5.89061,3.14505,0.63672,3.71627,Colorado Springs,CO,,,US,US Census Bureau
14260,"Boise City, ID",-116.14315,43.01602,7,100,79.95499,13.84781,0.99011,2.2862,0.59445,2.32645,Boise City,ID,Ada County,83701,US,TIGER/Lineå¨ dataset from the US Census Bureau
29460,"Lakeland-Winter Haven, FL",-81.69736,27.94868,6,100,57.94884,23.61962,14.63188,1.90195,0.27316,1.62456,Lakeland,TN,Shelby County,38002,US,TIGER/Lineå¨ dataset from the US Census Bureau
10420,"Akron, OH",-81.34942,41.14883,7,100,79.54898,2.16899,12.38074,3.46927,0.1728,2.25922,Akron,OH,Summit County,44301,US,TIGER/Lineå¨ dataset from the US Census Bureau
36260,"Ogden-Clearfield, UT",-112.81593,41.43261,7,100,81.01625,13.11099,1.1704,2.14497,0.48262,2.07476,Ogden,UT,Weber County,84201,US,TIGER/Lineå¨ dataset from the US Census Bureau
49180,"Winston-Salem, NC",-80.34551,36.07623,2,100,67.91957,10.45385,17.76006,1.90675,0.3132,1.64657,Winston,MO,Daviess County,64689,US,TIGER/Lineå¨ dataset from the US Census Bureau
31540,"Madison, WI",-89.59212,43.0801,7,100,81.86962,5.81295,4.49182,5.38474,0.30163,2.13924,Madison,WI,Dane County,53701,US,TIGER/Lineå¨ dataset from the US Census Bureau
19660,"Deltona-Daytona Beach-Ormond Beach, FL",-81.21979,29.17403,7,100,71.79706,13.85102,10.29768,2.05138,0.28123,1.72164,Daytona Beach,FL,,,,
19780,"Des Moines-West Des Moines, IA",-93.9404,41.5478,7,100,80.28956,7.52111,5.51106,4.56036,0.17821,1.9397,Des Moines,IA,Polk County,50301,US,TIGER/Lineå¨ dataset from the US Census Bureau
45060,"Syracuse, NY",-76.03362,43.15451,7,100,81.5398,4.34126,8.10021,2.96187,0.66718,2.38969,Syracuse,NY,Onondaga County,13201,US,TIGER/Lineå¨ dataset from the US Census Bureau
48620,"Wichita, KS",-97.3982,37.62506,7,100,71.8089,13.26602,7.30065,3.79957,0.80634,3.01851,Wichita,KS,Sedgwick County,67201,US,TIGER/Lineå¨ dataset from the US Census Bureau
39340,"Provo-Orem, UT",-112.35233,39.86453,7,100,82.22962,11.86365,0.5846,2.55756,0.4549,2.30968,Provo,KY,Butler County,42267,US,TIGER/Lineå¨ dataset from the US Census Bureau
44140,"Springfield, MA",-72.64598,42.23017,1,100,67.25091,20.944,6.50024,3.39891,0.15037,1.75557,Springfield,MA,Hampden County,1101,US,TIGER/Lineå¨ dataset from the US Census Bureau
12260,"Augusta-Richmond County, GA-SC",-81.98323,33.46099,2,100,54.41012,5.6016,35.29057,2.13914,0.32988,2.22869,Augusta,ME,Kennebec County,4330,US,TIGER/Lineå¨ dataset from the US Census Bureau
45780,"Toledo, OH",-83.78176,41.49878,2,100,74.06974,7.04512,14.59981,1.672,0.20767,2.40566,Toledo,OH,Lucas County,43601,US,TIGER/Lineå¨ dataset from the US Census Bureau
37340,"Palm Bay-Melbourne-Titusville, FL",-80.73227,28.29348,7,100,74.07016,10.71645,9.96198,2.62127,0.31532,2.31482,Palm Bay,FL,Brevard County,32905,US,TIGER/Lineå¨ dataset from the US Census Bureau
27140,"Jackson, MS",-90.22039,32.31733,2,100,46.09319,2.61253,48.99425,1.2374,0.13393,0.9287,Jackson,MS,Hinds County,39201,US,TIGER/Lineå¨ dataset from the US Census Bureau
20500,"Durham-Chapel Hill, NC",-79.09953,35.99098,2,100,54.69455,11.60542,26.04847,5.32766,0.30813,2.01577,Durham,NC,Durham County,27701,US,TIGER/Lineå¨ dataset from the US Census Bureau
25420,"Harrisburg-Carlisle, PA",-77.1013,40.32659,7,100,76.32561,6.6288,10.20118,4.41584,0.16201,2.26656,Harrisburg,PA,Dauphin County,17101,US,TIGER/Lineå¨ dataset from the US Census Bureau
44060,"Spokane-Spokane Valley, WA",-117.57181,48.19372,7,100,84.54994,5.70173,1.73237,2.72488,1.76846,3.52262,Spokane,WA,Spokane County,99201,US,TIGER/Lineå¨ dataset from the US Census Bureau
16860,"Chattanooga, TN-GA",-85.35885,35.05192,2,100,78.12883,4.72081,13.54172,1.70544,0.27176,1.63144,Chattanooga,TN,Hamilton County,37401,US,TIGER/Lineå¨ dataset from the US Census Bureau
42540,"Scranton--Wilkes-Barre--Hazleton, PA",-75.89558,41.32306,7,100,82.63499,10.5272,3.47048,1.94803,0.1199,1.29941,Scranton,PA,Lackawanna County,18501,US,TIGER/Lineå¨ dataset from the US Census Bureau
