Date,Subs,Name,Views
2016-01-02,2382,Jinx,1559839
2016-01-03,2906,Jinx,1719448
2016-01-04,1280,Jinx,1706011
2016-01-05,2131,Jinx,1342908
2016-01-06,1847,Jinx,1232512
2016-01-07,2238,Jinx,1057851
2016-01-08,2955,Jinx,1182970
2016-01-09,3453,Jinx,1267746
2016-01-10,2535,Jinx,1229145
2016-01-11,2522,Jinx,0
2016-01-12,2292,Jinx,2135685
2016-01-13,1956,Jinx,851526
2016-01-14,2333,Jinx,979293
2016-01-15,3304,Jinx,1018063
2016-01-16,1971,Jinx,794395
2016-01-17,3433,Jinx,1159997
2016-01-18,2146,Jinx,1680706
2016-01-19,2465,Jinx,1512861
2016-01-20,2562,Jinx,1287081
2016-01-21,3263,Jinx,1285807
2016-01-22,3677,Jinx,1379607
2016-01-23,3913,Jinx,1388605
2016-01-24,3304,Jinx,1328378
2016-01-25,2799,Jinx,20716
2016-01-26,2824,Jinx,2539312
2016-01-27,2509,Jinx,1032748
2016-01-28,2879,Jinx,1201565
2016-01-29,3838,Jinx,0
2016-01-30,3032,Jinx,2491369
2016-01-31,3326,Jinx,1362349
2016-02-01,2667,Jinx,0
2016-02-02,2873,Jinx,-7856059
2016-02-03,-2332,Jinx,-15430498
2016-02-04,1637,Jinx,-5082461
2016-02-05,2549,Jinx,-23795453
2016-02-06,342,Jinx,-16059705
2016-02-07,1349,Jinx,987540
2016-02-08,298,Jinx,0
2016-02-09,1386,Jinx,-30820649
2016-02-10,872,Jinx,1113071
2016-02-11,763,Jinx,454141
2016-02-12,1040,Jinx,154862
2016-02-13,1499,Jinx,-13442075
2016-02-14,1637,Jinx,628457
2016-02-15,1371,Jinx,0
2016-02-16,958,Jinx,-23135392
2016-02-17,1123,Jinx,499588
2016-02-18,1026,Jinx,460360
2016-02-19,1352,Jinx,-13209107
2016-02-20,1204,Jinx,467063
2016-02-21,1004,Jinx,561064
2016-02-22,835,Jinx,0
2016-02-23,790,Jinx,930876
2016-02-24,792,Jinx,387148
2016-02-25,783,Jinx,383842
2016-02-26,1118,Jinx,374609
2016-02-27,1011,Jinx,401367
2016-02-28,757,Jinx,499548
2016-02-29,775,Jinx,0
2016-03-01,1026,Jinx,765846
2016-03-02,885,Jinx,378825
2016-03-03,811,Jinx,383449
2016-03-04,1021,Jinx,362441
2016-03-05,1165,Jinx,393780
2016-03-06,1179,Jinx,476245
2016-03-07,862,Jinx,0
2016-03-08,866,Jinx,901706
2016-03-09,815,Jinx,399577
2016-03-10,812,Jinx,356004
2016-03-11,859,Jinx,365263
2016-03-12,1233,Jinx,372129
2016-03-13,1079,Jinx,438295
2016-03-14,982,Jinx,0
2016-03-15,789,Jinx,853018
2016-03-16,-2166,Jinx,0
2016-03-17,-3214,Jinx,744403
2016-03-18,993,Jinx,505911
2016-03-19,1290,Jinx,461117
2016-03-20,1253,Jinx,467072
2016-03-21,-3907,Jinx,434151
2016-03-22,789,Jinx,466585
2016-03-23,854,Jinx,396000
2016-03-24,1239,Jinx,344010
2016-03-25,-360,Jinx,366317
2016-03-26,395,Jinx,386074
2016-03-27,128,Jinx,405379
2016-03-28,1088,Jinx,0
2016-03-29,-541,Jinx,412613
2016-03-30,747,Jinx,739204
2016-03-31,503,Jinx,356299
2016-04-01,831,Jinx,319734
2016-04-02,1153,Jinx,360920
2016-04-03,838,Jinx,363672
2016-04-04,813,Jinx,343001
2016-04-05,946,Jinx,269317
2016-04-06,825,Jinx,257716
2016-04-07,739,Jinx,263926
2016-04-08,550,Jinx,257887
2016-04-09,1120,Jinx,270374
2016-04-10,785,Jinx,323787
2016-04-11,583,Jinx,0
2016-04-12,-1339,Jinx,550187
2016-04-13,540,Jinx,255415
2016-04-14,627,Jinx,253640
2016-04-15,891,Jinx,231997
2016-04-16,893,Jinx,241356
2016-04-17,162,Jinx,299926
2016-04-18,-231,Jinx,293379
2016-04-19,511,Jinx,262260
2016-04-20,607,Jinx,242390
2016-04-21,700,Jinx,230548
2016-04-22,826,Jinx,230926
2016-04-23,904,Jinx,244676
2016-04-24,699,Jinx,292031
2016-04-25,857,Jinx,288809
2016-04-26,815,Jinx,229575
2016-04-27,811,Jinx,222047
2016-04-28,806,Jinx,225326
2016-04-29,1163,Jinx,228268
2016-04-30,968,Jinx,230759
2016-05-01,857,Jinx,295543
2016-05-02,-733,Jinx,281574
2016-05-03,-530,Jinx,232661
2016-05-04,-203,Jinx,251690
2016-05-05,27,Jinx,274713
2016-05-06,787,Jinx,245596
2016-05-07,-413,Jinx,231260
2016-05-08,-32,Jinx,281071
2016-05-09,422,Jinx,286863
2016-05-10,-478,Jinx,234783
2016-05-11,-136,Jinx,225408
2016-05-12,-411,Jinx,237168
2016-05-13,368,Jinx,225912
2016-05-14,981,Jinx,-103289
2016-05-15,337,Jinx,278918
2016-05-16,56,Jinx,0
2016-05-17,272,Jinx,497441
2016-05-18,-67,Jinx,0
2016-05-19,151,Jinx,416676
2016-05-20,-118,Jinx,203893
2016-05-21,750,Jinx,256336
2016-05-22,439,Jinx,253390
2016-05-23,-65,Jinx,296434
2016-05-24,201,Jinx,245084
2016-05-25,-103,Jinx,234763
2016-05-26,635,Jinx,269621
2016-05-27,-1086,Jinx,237758
2016-05-28,-12,Jinx,249736
2016-05-29,366,Jinx,270453
2016-05-30,793,Jinx,257110
2016-05-31,782,Jinx,258935
2016-06-01,307,Jinx,241194
2016-06-02,681,Jinx,224177
2016-06-03,820,Jinx,253801
2016-06-04,983,Jinx,230385
2016-06-05,957,Jinx,239903
2016-06-06,320,Jinx,249051
2016-06-07,135,Jinx,237096
2016-06-08,823,Jinx,269253
2016-06-09,792,Jinx,235278
2016-06-10,824,Jinx,224289
2016-06-11,812,Jinx,225656
2016-06-12,869,Jinx,226036
2016-06-13,-615,Jinx,216212
2016-06-14,827,Jinx,250462
2016-06-15,744,Jinx,0
2016-06-16,810,Jinx,0
2016-06-17,691,Jinx,696392
2016-06-18,733,Jinx,210875
2016-06-19,762,Jinx,198770
2016-06-20,81,Jinx,226868
2016-06-21,-193,Jinx,212971
2016-06-22,539,Jinx,212555
2016-06-23,-446,Jinx,204525
2016-06-24,-334,Jinx,200117
2016-06-25,346,Jinx,230600
