"","X","per","ts_pct","usg_pct","bpm","vorp","age","win_pct","g","pts_per_g","trb_per_g","ast_per_g","stl_per_g","blk_per_g","fg_pct","fg3_pct","ft_pct","ws","ws_per_48"
"92",91,18,0.532,16.9,1.4,2.4,29,0.548780487804878,81,13.2,2.8,9.2,2.7,0.2,0.486,0.118,0.821,7.9,0.138
"93",92,18.8,0.512,31.3,0.2,1.3,30,0.341463414634146,75,22.3,2.9,3,1.3,0.1,0.445,0.319,0.784,5.3,0.107
"94",93,19.4,0.534,25.2,3.8,4,27,0.609756097560976,74,20.7,6.5,4.3,1.6,0.6,0.502,0.154,0.709,8.6,0.152
"95",94,26.5,0.585,28.5,8.5,8.4,28,0.768292682926829,80,28.7,10.5,6.6,1.6,1.2,0.522,0.427,0.882,15.7,0.238
"96",95,23.2,0.637,20.5,5.4,5.2,25,0.75609756097561,77,18.3,6.2,12.6,1.5,0.3,0.561,0.189,0.843,12.7,0.22
"97",96,22.5,0.577,26.8,1.5,2.6,29,0.707317073170732,79,24.6,13.1,1.6,0.8,1.6,0.469,0,0.815,11.9,0.193
"98",97,22.9,0.628,24.3,4.9,4.6,37,0.75609756097561,79,22,7.9,3.2,0.8,2.1,0.599,0,0.732,11.2,0.204
"99",98,22.1,0.536,28.8,3.8,4,23,0.719512195121951,79,23.6,9.1,2.9,1.5,0.8,0.495,0,0.741,10.7,0.189
"100",99,25.8,0.592,29.8,8.2,8.1,21,0.463414634146341,82,28.2,6.5,5.9,2.4,0.8,0.515,0.173,0.845,14,0.213
"101",100,25.2,0.585,35.1,4.3,3.3,28,0.292682926829268,55,32.9,5.8,3.7,1.3,0.3,0.53,0.1,0.772,7.1,0.166
"102",101,20.1,0.565,23.6,4.7,4.6,27,0.719512195121951,73,21.7,5.4,5.2,1.6,0.5,0.483,0.273,0.828,11.2,0.197
"103",102,22.2,0.529,24,5.2,5.6,23,0.560975609756098,81,21.2,4.5,13.9,2.3,0.3,0.458,0.257,0.809,11.2,0.173
