month,state,totals,year
8/1/2019,Louisiana,23780,2019
8/1/2019,Maine,7686,2019
8/1/2019,Mariana Islands,9,2019
8/1/2019,Maryland,11823,2019
8/1/2019,Massachusetts,19189,2019
8/1/2019,Michigan,39967,2019
8/1/2019,Minnesota,53571,2019
8/1/2019,Mississippi,21951,2019
8/1/2019,Missouri,42413,2019
8/1/2019,Montana,9931,2019
8/1/2019,Nebraska,5396,2019
8/1/2019,Nevada,10782,2019
8/1/2019,New Hampshire,9617,2019
8/1/2019,New Jersey,7721,2019
8/1/2019,New Mexico,13906,2019
8/1/2019,New York,26227,2019
8/1/2019,North Carolina,44438,2019
8/1/2019,North Dakota,5228,2019
8/1/2019,Ohio,50963,2019
8/1/2019,Oklahoma,29350,2019
8/1/2019,Oregon,29328,2019
8/1/2019,Pennsylvania,83346,2019
8/1/2019,Puerto Rico,2486,2019
8/1/2019,Rhode Island,1895,2019
8/1/2019,South Carolina,27354,2019
8/1/2019,South Dakota,6971,2019
8/1/2019,Tennessee,46533,2019
8/1/2019,Texas,133647,2019
8/1/2019,Utah,74699,2019
8/1/2019,Vermont,2936,2019
8/1/2019,Virgin Islands,149,2019
8/1/2019,Virginia,41457,2019
8/1/2019,Washington,40144,2019
8/1/2019,West Virginia,16501,2019
8/1/2019,Wisconsin,35146,2019
8/1/2019,Wyoming,4754,2019
7/1/2019,Alabama,51757,2019
7/1/2019,Alaska,5298,2019
7/1/2019,Arizona,26325,2019
7/1/2019,Arkansas,13684,2019
7/1/2019,California,89532,2019
7/1/2019,Colorado,33812,2019
7/1/2019,Connecticut,13362,2019
7/1/2019,Delaware,2873,2019
7/1/2019,District of Columbia,375,2019
7/1/2019,Florida,84024,2019
7/1/2019,Georgia,34787,2019
7/1/2019,Guam,200,2019
7/1/2019,Hawaii,1045,2019
7/1/2019,Idaho,19637,2019
7/1/2019,Illinois,439458,2019
7/1/2019,Indiana,61139,2019
7/1/2019,Iowa,11507,2019
7/1/2019,Kansas,10662,2019
7/1/2019,Kentucky,319270,2019
7/1/2019,Louisiana,17385,2019
7/1/2019,Maine,5437,2019
7/1/2019,Mariana Islands,13,2019
7/1/2019,Maryland,9891,2019
7/1/2019,Massachusetts,15272,2019
7/1/2019,Michigan,31607,2019
7/1/2019,Minnesota,42454,2019
7/1/2019,Mississippi,13918,2019
7/1/2019,Missouri,31627,2019
7/1/2019,Montana,8110,2019
7/1/2019,Nebraska,4044,2019
7/1/2019,Nevada,8635,2019
7/1/2019,New Hampshire,7439,2019
7/1/2019,New Jersey,7049,2019
7/1/2019,New Mexico,11128,2019
7/1/2019,New York,22471,2019
7/1/2019,North Carolina,36694,2019
7/1/2019,North Dakota,3794,2019
7/1/2019,Ohio,39206,2019
7/1/2019,Oklahoma,22754,2019
7/1/2019,Oregon,24493,2019
7/1/2019,Pennsylvania,66052,2019
7/1/2019,Puerto Rico,2317,2019
7/1/2019,Rhode Island,1561,2019
7/1/2019,South Carolina,21886,2019
7/1/2019,South Dakota,5323,2019
7/1/2019,Tennessee,43647,2019
7/1/2019,Texas,91183,2019
7/1/2019,Utah,76002,2019
7/1/2019,Vermont,2183,2019
7/1/2019,Virgin Islands,75,2019
7/1/2019,Virginia,32513,2019
7/1/2019,Washington,37439,2019
7/1/2019,West Virginia,12289,2019
7/1/2019,Wisconsin,25170,2019
7/1/2019,Wyoming,4469,2019
6/1/2019,Alabama,42898,2019
6/1/2019,Alaska,5557,2019
6/1/2019,Arizona,26746,2019
6/1/2019,Arkansas,13956,2019
6/1/2019,California,115987,2019
6/1/2019,Colorado,34773,2019
6/1/2019,Connecticut,14041,2019
6/1/2019,Delaware,3204,2019
6/1/2019,District of Columbia,305,2019
6/1/2019,Florida,85730,2019
6/1/2019,Georgia,34910,2019
6/1/2019,Guam,181,2019
6/1/2019,Hawaii,857,2019
6/1/2019,Idaho,17541,2019
6/1/2019,Illinois,373166,2019
6/1/2019,Indiana,273660,2019
6/1/2019,Iowa,10933,2019
6/1/2019,Kansas,10622,2019
6/1/2019,Kentucky,369622,2019
6/1/2019,Louisiana,17509,2019
6/1/2019,Maine,5809,2019
6/1/2019,Mariana Islands,18,2019
6/1/2019,Maryland,9839,2019
6/1/2019,Massachusetts,16256,2019
6/1/2019,Michigan,32369,2019
6/1/2019,Minnesota,45667,2019
6/1/2019,Mississippi,13809,2019
6/1/2019,Missouri,32674,2019
6/1/2019,Montana,8276,2019
6/1/2019,Nebraska,4411,2019
6/1/2019,Nevada,9248,2019
6/1/2019,New Hampshire,8018,2019
6/1/2019,New Jersey,7208,2019
6/1/2019,New Mexico,11056,2019
6/1/2019,New York,23636,2019
6/1/2019,North Carolina,34768,2019
6/1/2019,North Dakota,3914,2019
6/1/2019,Ohio,42122,2019
6/1/2019,Oklahoma,23701,2019
6/1/2019,Oregon,25185,2019
6/1/2019,Pennsylvania,66423,2019
6/1/2019,Puerto Rico,2946,2019
6/1/2019,Rhode Island,1609,2019
6/1/2019,South Carolina,23186,2019
6/1/2019,South Dakota,5566,2019
6/1/2019,Tennessee,44802,2019
6/1/2019,Texas,101762,2019
6/1/2019,Utah,69438,2019
6/1/2019,Vermont,2269,2019
6/1/2019,Virgin Islands,109,2019
6/1/2019,Virginia,33543,2019
6/1/2019,Washington,83436,2019
6/1/2019,West Virginia,12841,2019
6/1/2019,Wisconsin,28507,2019
6/1/2019,Wyoming,4447,2019
5/1/2019,Alabama,43908,2019
5/1/2019,Alaska,6376,2019
5/1/2019,Arizona,28950,2019
5/1/2019,Arkansas,15317,2019
5/1/2019,California,111816,2019
5/1/2019,Colorado,36814,2019
5/1/2019,Connecticut,14737,2019
5/1/2019,Delaware,3694,2019
5/1/2019,District of Columbia,417,2019
5/1/2019,Florida,88204,2019
5/1/2019,Georgia,37444,2019
5/1/2019,Guam,163,2019
5/1/2019,Hawaii,1105,2019
5/1/2019,Idaho,17565,2019
5/1/2019,Illinois,381771,2019
5/1/2019,Indiana,292587,2019
5/1/2019,Iowa,12850,2019
5/1/2019,Kansas,11538,2019
5/1/2019,Kentucky,332076,2019
5/1/2019,Louisiana,19274,2019
5/1/2019,Maine,6552,2019
5/1/2019,Mariana Islands,17,2019
5/1/2019,Maryland,10904,2019
5/1/2019,Massachusetts,18007,2019
5/1/2019,Michigan,35352,2019
5/1/2019,Minnesota,56564,2019
5/1/2019,Mississippi,15190,2019
5/1/2019,Missouri,34114,2019
5/1/2019,Montana,8603,2019
5/1/2019,Nebraska,4495,2019
5/1/2019,Nevada,9769,2019
5/1/2019,New Hampshire,8193,2019
5/1/2019,New Jersey,7693,2019
5/1/2019,New Mexico,11856,2019
5/1/2019,New York,26731,2019
5/1/2019,North Carolina,38637,2019
5/1/2019,North Dakota,4312,2019
5/1/2019,Ohio,43850,2019
5/1/2019,Oklahoma,24627,2019
5/1/2019,Oregon,26970,2019
5/1/2019,Pennsylvania,72244,2019
5/1/2019,Puerto Rico,2653,2019
5/1/2019,Rhode Island,1813,2019
5/1/2019,South Carolina,24977,2019
5/1/2019,South Dakota,5792,2019
5/1/2019,Tennessee,44913,2019
5/1/2019,Texas,107763,2019
5/1/2019,Utah,77058,2019
5/1/2019,Vermont,2659,2019
5/1/2019,Virgin Islands,91,2019
5/1/2019,Virginia,30515,2019
5/1/2019,Washington,53125,2019
5/1/2019,West Virginia,13173,2019
5/1/2019,Wisconsin,30307,2019
5/1/2019,Wyoming,4793,2019
4/1/2019,Alabama,41146,2019
4/1/2019,Alaska,6505,2019
4/1/2019,Arizona,30222,2019
4/1/2019,Arkansas,15812,2019
4/1/2019,California,114466,2019
4/1/2019,Colorado,39433,2019
4/1/2019,Connecticut,15726,2019
4/1/2019,Delaware,3807,2019
4/1/2019,District of Columbia,409,2019
4/1/2019,Florida,93693,2019
4/1/2019,Georgia,40952,2019
4/1/2019,Guam,150,2019
4/1/2019,Hawaii,1212,2019
4/1/2019,Idaho,16004,2019
4/1/2019,Illinois,405464,2019
4/1/2019,Indiana,106096,2019
4/1/2019,Iowa,15144,2019
4/1/2019,Kansas,11933,2019
4/1/2019,Kentucky,381411,2019
4/1/2019,Louisiana,19650,2019
4/1/2019,Maine,7375,2019
4/1/2019,Mariana Islands,15,2019
4/1/2019,Maryland,12537,2019
4/1/2019,Massachusetts,17738,2019
4/1/2019,Michigan,40570,2019
4/1/2019,Minnesota,72720,2019
4/1/2019,Mississippi,15894,2019
4/1/2019,Missouri,35825,2019
4/1/2019,Montana,9419,2019
4/1/2019,Nebraska,5267,2019
4/1/2019,Nevada,10524,2019
4/1/2019,New Hampshire,9389,2019
4/1/2019,New Jersey,8173,2019
4/1/2019,New Mexico,12483,2019
4/1/2019,New York,31154,2019
4/1/2019,North Carolina,42651,2019
4/1/2019,North Dakota,5135,2019
4/1/2019,Ohio,53819,2019
4/1/2019,Oklahoma,26528,2019
4/1/2019,Oregon,30299,2019
4/1/2019,Pennsylvania,79853,2019
4/1/2019,Puerto Rico,2427,2019
4/1/2019,Rhode Island,2175,2019
4/1/2019,South Carolina,24607,2019
4/1/2019,South Dakota,6581,2019
4/1/2019,Tennessee,48624,2019
4/1/2019,Texas,106112,2019
4/1/2019,Utah,77263,2019
4/1/2019,Vermont,3236,2019
4/1/2019,Virgin Islands,114,2019
4/1/2019,Virginia,35052,2019
4/1/2019,Washington,53377,2019
4/1/2019,West Virginia,15583,2019
4/1/2019,Wisconsin,38561,2019
4/1/2019,Wyoming,4821,2019
3/1/2019,Alabama,51923,2019
3/1/2019,Alaska,7136,2019
3/1/2019,Arizona,37340,2019
3/1/2019,Arkansas,22246,2019
3/1/2019,California,123056,2019
3/1/2019,Colorado,46915,2019
3/1/2019,Connecticut,18362,2019
3/1/2019,Delaware,4985,2019
3/1/2019,District of Columbia,417,2019
3/1/2019,Florida,114001,2019
3/1/2019,Georgia,56804,2019
3/1/2019,Guam,195,2019
3/1/2019,Hawaii,1129,2019
3/1/2019,Idaho,18314,2019
3/1/2019,Illinois,376018,2019
3/1/2019,Indiana,98597,2019
3/1/2019,Iowa,20108,2019
3/1/2019,Kansas,17353,2019
3/1/2019,Kentucky,379268,2019
3/1/2019,Louisiana,25970,2019
3/1/2019,Maine,8766,2019
3/1/2019,Mariana Islands,18,2019
3/1/2019,Maryland,15083,2019
3/1/2019,Massachusetts,20670,2019
3/1/2019,Michigan,51698,2019
3/1/2019,Minnesota,75386,2019
3/1/2019,Mississippi,23090,2019
3/1/2019,Missouri,51487,2019
3/1/2019,Montana,11143,2019
3/1/2019,Nebraska,6878,2019
3/1/2019,Nevada,13856,2019
3/1/2019,New Hampshire,11684,2019
3/1/2019,New Jersey,8410,2019
3/1/2019,New Mexico,16850,2019
3/1/2019,New York,35004,2019
3/1/2019,North Carolina,53896,2019
3/1/2019,North Dakota,5990,2019
3/1/2019,Ohio,70826,2019
3/1/2019,Oklahoma,35704,2019
3/1/2019,Oregon,35949,2019
3/1/2019,Pennsylvania,105892,2019
3/1/2019,Puerto Rico,2554,2019
