,State,Year,Population,deaths_t,rate_t,deaths_s,rate_s,deaths_h,rate_h,deaths_l,rate_l
528,South Carolina,2007.0,4444110,592,13.321002405431008,311.0,6.998026601501763,269,6.052955484900239,0,0.0
529,South Carolina,2008.0,4528996,615,13.579168539782327,343.0,7.5734224538948585,263,5.807026546280897,0,0.0
530,South Carolina,2009.0,4589872,634,13.81302136530169,377.0,8.213736679367093,252,5.490349186208243,0,0.0
531,South Carolina,2010.0,4625364,648,14.009708208910693,392.0,8.47500866958795,249,5.383360098794387,0,0.0
532,South Carolina,2011.0,4679230,705,15.066581467463664,426.0,9.104061993105704,270,5.770180136475446,0,0.0
533,South Carolina,2012.0,4723723,743,15.72911874807223,433.0,9.166498543627558,299,6.329753035899861,0,0.0
534,South Carolina,2013.0,4774839,745,15.602620318716506,470.0,9.843263825230547,259,5.424266661137684,10,0.20943114521767123
535,South Carolina,2014.0,4832482,767,15.87176113640982,479.0,9.912090722738336,279,5.77343071324425,0,0.0
536,South Carolina,2015.0,4896146,850,17.3605934136768,469.0,9.578962718840492,372,7.597812646926787,0,0.0
537,South Carolina,2016.0,4961119,891,17.959657891697418,525.0,10.582290003525415,357,7.195957202397282,0,0.0
538,South Carolina,2017.0,5024369,893,17.77337611946893,531.0,10.568491287164617,353,7.025757861335423,0,0.0
539,South Carolina,2018.0,5084127,895,17.603808874168564,493.0,9.696846675938662,391,7.690602536089283,0,0.0
540,Kansas,1999.0,2678338,269,10.043541927867206,166.0,6.197873457345563,98,3.6589855350594287,0,0.0
541,Kansas,2000.0,2688418,299,11.121782401397402,186.0,6.918566978795708,109,4.054429035960926,0,0.0
542,Kansas,2001.0,2702162,267,9.88097678821625,160.0,5.921184592189514,102,3.774755177520815,0,0.0
543,Kansas,2002.0,2713535,268,9.876415819217367,184.0,6.7808228012537155,83,3.058740720130752,0,0.0
544,Kansas,2003.0,2723004,304,11.164140779815234,211.0,7.748795080727021,86,3.158276667974046,0,0.0
545,Kansas,2004.0,2734373,294,10.752007864325753,204.0,7.460576885450522,87,3.1817166129127226,0,0.0
546,Kansas,2005.0,2745299,257,9.36145753158399,188.0,6.848070100925255,66,2.40410971628227,0,0.0
547,Kansas,2006.0,2762931,299,10.821841008696923,211.0,7.636817568010204,77,2.78689551060088,0,0.0
548,Kansas,2007.0,2783785,292,10.489315805638725,213.0,7.65145296781181,74,2.6582512658125537,0,0.0
549,Kansas,2008.0,2808076,277,9.864405379341585,185.0,6.588140776816582,88,3.1338183154586985,0,0.0
550,Kansas,2009.0,2832704,303,10.696493527032828,200.0,7.060391767018368,96,3.388988048168817,0,0.0
551,Kansas,2010.0,2853118,300,10.514812215968634,210.0,7.360368551178045,80,2.8039499242583026,0,0.0
552,Kansas,2011.0,2871238,329,11.458471920474722,233.0,8.114966436080882,88,3.0648800273610197,0,0.0
553,Kansas,2012.0,2885905,377,13.063493081026575,297.0,10.291399058527567,71,2.4602334449678698,0,0.0
554,Kansas,2013.0,2893957,331,11.437626751192226,241.0,8.3276980273031,85,2.9371549058952846,0,0.0
555,Kansas,2014.0,2904021,329,11.329119176479784,238.0,8.195533021283248,79,2.720366002862927,10,0.3443501269446743
556,Kansas,2015.0,2911641,330,11.333814848739937,224.0,7.693256139750745,100,3.4344893481030114,0,0.0
557,Kansas,2016.0,2907289,383,13.173784924718527,257.0,8.839850458623136,121,4.161952939663033,0,0.0
558,Kansas,2017.0,2913123,466,15.996578242662599,316.0,10.847465074423566,147,5.0461309048742535,0,0.0
