year,state,totals,pop_est
2007,Vermont,19951,
2007,Virgin Islands,1461,
2007,Virginia,241538,
2007,Washington,276156,
2007,West Virginia,132396,
2007,Wisconsin,180607,
2007,Wyoming,42770,
2008,Alabama,299432,
2008,Alaska,61729,
2008,Arizona,208721,
2008,Arkansas,191799,
2008,California,780398,
2008,Colorado,285521,
2008,Connecticut,155885,
2008,Delaware,18102,
2008,District of Columbia,259,
2008,Florida,503672,
2008,Georgia,367374,
2008,Guam,447,
2008,Hawaii,8569,
2008,Idaho,100457,
2008,Illinois,615941,
2008,Indiana,219900,
2008,Iowa,108330,
2008,Kansas,126084,
2008,Kentucky,1881101,
2008,Louisiana,248355,
2008,Maine,56561,
2008,Mariana Islands,0,
2008,Maryland,89583,
2008,Massachusetts,119859,
2008,Michigan,357335,
2008,Minnesota,277175,
2008,Mississippi,181068,
2008,Missouri,321487,
2008,Montana,97599,
2008,Nebraska,56589,
2008,Nevada,95252,
2008,New Hampshire,67293,
2008,New Jersey,40525,
2008,New Mexico,106131,
2008,New York,221920,
2008,North Carolina,347473,
2008,North Dakota,46832,
2008,Ohio,350014,
2008,Oklahoma,221612,
2008,Oregon,179887,
2008,Pennsylvania,598544,
2008,Puerto Rico,6503,
2008,Rhode Island,12405,
2008,South Carolina,184941,
2008,South Dakota,62489,
2008,Tennessee,282819,
2008,Texas,944568,
2008,Utah,181592,
2008,Vermont,21991,
2008,Virgin Islands,1536,
2008,Virginia,278974,
2008,Washington,316589,
2008,West Virginia,147689,
2008,Wisconsin,186819,
2008,Wyoming,49255,
2009,Alabama,317868,
2009,Alaska,60780,
2009,Arizona,215379,
2009,Arkansas,209842,
2009,California,788164,
2009,Colorado,313641,
2009,Connecticut,202454,
2009,Delaware,20530,
2009,District of Columbia,369,
2009,Florida,556540,
2009,Georgia,373237,
2009,Guam,510,
2009,Hawaii,10511,
2009,Idaho,99243,
2009,Illinois,752071,
2009,Indiana,273803,
2009,Iowa,120233,
2009,Kansas,142984,
2009,Kentucky,2189578,
2009,Louisiana,247084,
2009,Maine,60955,
2009,Mariana Islands,0,
2009,Maryland,95191,
2009,Massachusetts,98864,
2009,Michigan,362172,
2009,Minnesota,285130,
2009,Mississippi,167057,
2009,Missouri,355678,
2009,Montana,101976,
2009,Nebraska,59328,
2009,Nevada,107343,
2009,New Hampshire,76102,
2009,New Jersey,55533,
2009,New Mexico,106854,
2009,New York,241165,
2009,North Carolina,368460,
2009,North Dakota,47962,
2009,Ohio,395580,
2009,Oklahoma,234562,
2009,Oregon,185043,
2009,Pennsylvania,641696,
2009,Puerto Rico,7992,
2009,Rhode Island,14799,
2009,South Carolina,214584,
2009,South Dakota,63748,
2009,Tennessee,408991,
2009,Texas,1014015,
2009,Utah,256136,
2009,Vermont,23085,
2009,Virgin Islands,1759,
2009,Virginia,296463,
2009,Washington,336732,
2009,West Virginia,156831,
2009,Wisconsin,196951,
2009,Wyoming,51395,
2010,Alabama,221911,4785437
2010,Alaska,65909,713910
2010,Arizona,206050,6407172
2010,Arkansas,191448,2921964
2010,California,816399,37319502
2010,Colorado,300820,5047349
2010,Connecticut,179595,3579114
2010,Delaware,19240,899593
2010,District of Columbia,349,605226
2010,Florida,559347,18845537
2010,Georgia,333247,9711881
2010,Guam,542,[]
2010,Hawaii,10533,1363963
2010,Idaho,92031,1570746
2010,Illinois,695300,12840503
2010,Indiana,345650,6490432
2010,Iowa,124738,3050745
2010,Kansas,144156,2858190
2010,Kentucky,2385579,4348181
2010,Louisiana,239204,4544532
2010,Maine,65988,1327629
2010,Mariana Islands,0,[]
2010,Maryland,88162,5788645
2010,Massachusetts,115904,6566307
2010,Michigan,348200,9877510
2010,Minnesota,297390,5310828
2010,Mississippi,169873,2970548
2010,Missouri,349672,5995974
2010,Montana,101095,990697
2010,Nebraska,58283,1829542
2010,Nevada,104789,2702405
2010,New Hampshire,79940,1316762
2010,New Jersey,50522,8799446
2010,New Mexico,109069,2064552
2010,New York,241495,19399878
2010,North Carolina,331637,9574323
2010,North Dakota,47083,674715
2010,Ohio,393250,11539336
2010,Oklahoma,233909,3759944
2010,Oregon,184835,3837491
2010,Pennsylvania,626677,12711160
2010,Puerto Rico,8078,3721525
2010,Rhode Island,14835,1053959
2010,South Carolina,201628,4635649
2010,South Dakota,63151,816166
2010,Tennessee,411024,6355311
2010,Texas,968071,25241971
2010,Utah,553134,2775332
2010,Vermont,24276,625879
2010,Virgin Islands,1594,[]
2010,Virginia,320783,8023699
2010,Washington,335342,6742830
2010,West Virginia,159550,1854239
2010,Wisconsin,194797,5690475
2010,Wyoming,47709,564487
2011,Alabama,336102,4799069
2011,Alaska,70198,722128
2011,Arizona,251477,6472643
2011,Arkansas,206228,2940667
2011,California,905701,37638369
2011,Colorado,336296,5121108
2011,Connecticut,186068,3588283
2011,Delaware,22490,907381
2011,District of Columbia,300,619800
2011,Florida,643229,19053237
2011,Georgia,367894,9802431
2011,Guam,511,[]
2011,Hawaii,12635,1379329
2011,Idaho,106616,1583910
2011,Illinois,828962,12867454
2011,Indiana,359840,6516528
2011,Iowa,179944,3066336
2011,Kansas,164898,2869225
2011,Kentucky,2280832,4369821
2011,Louisiana,264552,4575625
2011,Maine,73127,1328284
2011,Mariana Islands,1,[]
2011,Maryland,103020,5839419
2011,Massachusetts,153487,6613583
2011,Michigan,356635,9882412
2011,Minnesota,337534,5346143
2011,Mississippi,185059,2978731
2011,Missouri,394923,6010275
2011,Montana,108974,997316
2011,Nebraska,65860,1840672
2011,Nevada,118740,2712730
2011,New Hampshire,90984,1320202
2011,New Jersey,60256,8828117
2011,New Mexico,115620,2080450
2011,New York,271837,19499241
2011,North Carolina,375211,9657592
2011,North Dakota,61032,685225
2011,Ohio,468974,11544663
2011,Oklahoma,271816,3788379
2011,Oregon,209781,3872036
2011,Pennsylvania,718934,12745815
2011,Puerto Rico,11525,3678732
2011,Rhode Island,17271,1053649
2011,South Carolina,229419,4671994
2011,South Dakota,69654,823579
